,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
513,PERP-USD,-0.7361583239275654,2021-12-31,2024-08-06,949,100.0,26.384167607243455,-73.61583239275654,-94.75362957377436,100.0,0.0,75.34197824611785,217.0,1,0,1,-73.61583239275654,,,,,,,,,,,,,
644,TARA-USD,-0.7362650973860551,2021-12-31,2024-08-06,949,100.0,26.373490261394494,-73.6265097386055,-59.41697527020086,100.0,0.0,78.09818289840665,147.0,1,0,1,-73.6265097386055,,,,,,,,,,,,,
100,BONDLY-USD,-0.7383082248527962,2021-12-31,2024-08-06,949,100.0,26.169177514720374,-73.83082248527963,-97.83083828393715,100.0,0.0,74.28843715929516,150.0,1,0,1,-73.83082248527963,,,,,,,,,,,,,
543,QI-USD,-0.7420152372574355,2021-12-31,2024-08-06,949,100.0,25.79847627425646,-74.20152372574354,-96.37818800176798,100.0,0.0,82.51506948123733,147.0,1,0,1,-74.20152372574354,,,,,,,,,,,,,
536,PUMLX-USD,-0.7476990311139727,2022-10-06,2024-08-06,670,100.0,25.23009688860273,-74.76990311139727,-92.81565032817899,100.0,0.0,80.38311587126353,148.0,1,0,1,-74.76990311139727,,,,,,,,,,,,,
245,FRM-USD,-0.7489772784641221,2021-12-31,2024-08-06,949,100.0,25.10227215358779,-74.89772784641221,-88.14097640408013,100.0,0.0,82.65435220179597,128.0,1,0,1,-74.89772784641221,,,,,,,,,,,,,
267,GMM-USD,-0.7557828744577484,2022-03-29,2024-08-06,861,100.0,24.421712554225167,-75.57828744577483,-97.13015573362131,100.0,0.0,89.69162992319632,148.0,1,0,1,-75.57828744577483,,,,,,,,,,,,,
66,AZERO-USD,-0.7559189165577201,2022-01-26,2024-08-06,923,100.0,24.408108344227983,-75.59189165577202,-53.28531368345886,100.0,0.0,79.2483864994529,215.0,1,0,1,-75.59189165577202,,,,,,,,,,,,,
90,BLUR-USD,-0.7564314234883284,2023-02-13,2024-08-06,540,100.0,24.35685765116716,-75.64314234883284,-79.00311396686097,100.0,0.0,84.37608643670058,164.0,1,0,1,-75.64314234883284,,,,,,,,,,,,,
525,POLS-USD,-0.7568354267293219,2021-12-31,2024-08-06,949,100.0,24.31645732706781,-75.68354267293219,-92.10737217103544,100.0,0.0,81.89614461385062,128.0,1,0,1,-75.68354267293219,,,,,,,,,,,,,
